Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Congo (Brazaville),CFA Franc,XAF,779.0324,01/10/2024,31/10/2024
Congo (DemRep),Congo Fr,CDF,3767.7099,01/10/2024,31/10/2024
Costa Rica,Colon,CRC,683.8892,01/10/2024,31/10/2024
Cote d'Ivoire,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Cuba,Peso,CUP,31.7101,01/10/2024,31/10/2024
Czech Republic,Koruna,CZK,29.7637,01/10/2024,31/10/2024
Denmark,Krone,DKK,8.8615,01/10/2024,31/10/2024
Djibouti,Franc,DJF,235.0508,01/10/2024,31/10/2024
Dominica,E Caribbean Dollar,XCD,3.5695,01/10/2024,31/10/2024
Dominican Republic,Peso,DOP,79.3043,01/10/2024,31/10/2024
Dubai,Dirham,AED,4.8517,01/10/2024,31/10/2024
Egypt,Pound,EGP,64.1100,01/10/2024,31/10/2024
El Salvador,Colon,SVC,11.5596,01/10/2024,31/10/2024
Equatorial Guinea,CFA Franc,XAF,779.0324,01/10/2024,31/10/2024
Eritrea,Nakfa,ERN,19.8165,01/10/2024,31/10/2024
Ethiopia,Birr,ETB,154.8467,01/10/2024,31/10/2024
Eurozone,Euro,EUR,1.1876,01/10/2024,31/10/2024
Fiji Islands,Dollar,FJD,2.9107,01/10/2024,31/10/2024
Fr. Polynesia,CFP Franc,XPF,141.7216,01/10/2024,31/10/2024
Gabon,CFA Franc,XAF,779.0324,01/10/2024,31/10/2024
Gambia,Dalasi,GMD,93.1100,01/10/2024,31/10/2024
Georgia,Lari,GEL,3.5867,01/10/2024,31/10/2024
Ghana,Cedi,GHS,20.7465,01/10/2024,31/10/2024
Grenada,E Caribbean Dollar,XCD,3.5695,01/10/2024,31/10/2024
Guatemala,Quetzal,GTQ,10.2189,01/10/2024,31/10/2024
Guinea Bissau,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Guinea Republic,Franc,GNF,11419.9732,01/10/2024,31/10/2024
Guyana,Dollar,GYD,276.0531,01/10/2024,31/10/2024
Haiti,Gourde,HTG,174.3642,01/10/2024,31/10/2024
Honduras,Lempira,HNL,32.8136,01/10/2024,31/10/2024
Hong Kong,Dollar,HKD,10.2955,01/10/2024,31/10/2024
Hungary,Forint,HUF,468.3381,01/10/2024,31/10/2024
Iceland,Krona,ISK,180.8872,01/10/2024,31/10/2024
India,Rupee,INR,110.5997,01/10/2024,31/10/2024
Indonesia,Rupiah,IDR,20225.0450,01/10/2024,31/10/2024
Iraq,Dinar,IQD,1729.9403,01/10/2024,31/10/2024
Israel,Shekel,ILS,4.9732,01/10/2024,31/10/2024
Jamaica,Dollar,JMD,207.6806,01/10/2024,31/10/2024
Japan,Yen,JPY,187.4101,01/10/2024,31/10/2024
Jordan,Dinar,JOD,0.9367,01/10/2024,31/10/2024
Kazakhstan,Tenge,KZT,632.7338,01/10/2024,31/10/2024
Kenya,Schilling,KES,170.5181,01/10/2024,31/10/2024
Kuwait,Dinar,KWD,0.4028,01/10/2024,31/10/2024
Kyrgyz Republic,Som,KGS,111.4528,01/10/2024,31/10/2024
Lao People's Dem Rep,Kip,LAK,29234.9172,01/10/2024,31/10/2024
Lebanon,Pound,LBP,120722.7870,01/10/2024,31/10/2024
Lesotho,Loti,LSL,23.2214,01/10/2024,31/10/2024
Liberia,Dollar,LRD,263.7162,01/10/2024,31/10/2024
Libya,Dinar,LYD,6.3019,01/10/2024,31/10/2024
Macao,Pataca,MOP,10.6044,01/10/2024,31/10/2024
Macedonia,Denar,MKD,73.1253,01/10/2024,31/10/2024
Madagascar,Malagasy Ariary,MGA,5978.0389,01/10/2024,31/10/2024
Malawi,Kwacha,MWK,2292.9161,01/10/2024,31/10/2024
Malaysia,Ringgit,MYR,5.6085,01/10/2024,31/10/2024
Maldive Islands,Rufiyaa,MVR,20.3822,01/10/2024,31/10/2024
Mali Republic,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Mauritania,Ouguiya,MRU,52.2855,01/10/2024,31/10/2024
Mauritius,Rupee,MUR,60.5539,01/10/2024,31/10/2024
Mexico,Mexican Peso,MXN,25.2103,01/10/2024,31/10/2024
Moldova,Leu,MDL,23.0392,01/10/2024,31/10/2024
Mongolia,Tugrik,MNT,4491.4668,01/10/2024,31/10/2024
Montserrat,E Caribbean Dollar,XCD,3.5695,01/10/2024,31/10/2024
Morocco,Dirham,MAD,12.8519,01/10/2024,31/10/2024
Mozambique,Metical,MZN,84.4111,01/10/2024,31/10/2024
Myanmar,Kyat,MMK,2772.5341,01/10/2024,31/10/2024
Nepal,Rupee,NPR,177.0424,01/10/2024,31/10/2024
New Caledonia,CFP Franc,XPF,141.7216,01/10/2024,31/10/2024
New Zealand,Dollar,NZD,2.1229,01/10/2024,31/10/2024
Nicaragua,Gold Cordoba,NIO,48.6282,01/10/2024,31/10/2024
Niger Republic,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Nigeria,Naira,NGN,2165.7499,01/10/2024,31/10/2024
Norway,Norwegian Krone,NOK,13.9805,01/10/2024,31/10/2024
Oman,Rial,OMR,0.5083,01/10/2024,31/10/2024
Pakistan,Rupee,PKR,367.4694,01/10/2024,31/10/2024
Panama,Balboa,PAB,1.3211,01/10/2024,31/10/2024
Papua New Guinea,Kina,PGK,5.1617,01/10/2024,31/10/2024
Paraguay,Guarani,PYG,10279.2609,01/10/2024,31/10/2024
Peru,New Sol,PEN,4.9589,01/10/2024,31/10/2024
Philippines,Peso,PHP,73.6344,01/10/2024,31/10/2024
Poland,Zloty,PLN,5.0706,01/10/2024,31/10/2024
Qatar,Riyal,QAR,4.8088,01/10/2024,31/10/2024
Romania,New Leu,RON,5.9085,01/10/2024,31/10/2024
Russia,Rouble,RUB,121.2952,01/10/2024,31/10/2024
Rwanda,Franc,RWF,1766.3743,01/10/2024,31/10/2024
Saudi Arabia,Riyal,SAR,4.9541,01/10/2024,31/10/2024
Senegal,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Serbia,Dinar,RSD,139.0424,01/10/2024,31/10/2024
Seychelles,Rupee,SCR,17.6791,01/10/2024,31/10/2024
Sierra Leone,Leone,SLE,29.8901,01/10/2024,31/10/2024
Singapore,Dollar,SGD,1.7093,01/10/2024,31/10/2024
Soloman Islands,Dollar,SBD,11.0722,01/10/2024,31/10/2024
Somali Republic,Schilling,SOS,754.2485,01/10/2024,31/10/2024
South Africa,Rand,ZAR,23.2214,01/10/2024,31/10/2024
South Korea,Won,KRW,1749.9019,01/10/2024,31/10/2024
Sri Lanka,Rupee,LKR,400.7615,01/10/2024,31/10/2024
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.5695,01/10/2024,31/10/2024
St Lucia,E Caribbean Dollar,XCD,3.5695,01/10/2024,31/10/2024
St Vincent,E Caribbean Dollar,XCD,3.5695,01/10/2024,31/10/2024
Sudan Republic,Pound,SDG,794.5486,01/10/2024,31/10/2024
Surinam,Dollar,SRD,39.7162,01/10/2024,31/10/2024
Swaziland,Lilangeni,SZL,23.2214,01/10/2024,31/10/2024
Sweden,Krona,SEK,13.4479,01/10/2024,31/10/2024
Switzerland,Franc,CHF,1.1148,01/10/2024,31/10/2024
Taiwan,Dollar,TWD,42.2713,01/10/2024,31/10/2024
Tanzania,Schilling,TZS,3586.9133,01/10/2024,31/10/2024
Thailand,Baht,THB,43.9559,01/10/2024,31/10/2024
Togo Republic,CFA Franc,XOF,779.0324,01/10/2024,31/10/2024
Tonga Islands,Pa'anga (AUS),TOP,3.1038,01/10/2024,31/10/2024
Trinidad/Tobago,Dollar,TTD,8.9718,01/10/2024,31/10/2024
Tunisia,Dinar,TND,4.0086,01/10/2024,31/10/2024
Turkey,Turkish  Lira,TRY,45.0662,01/10/2024,31/10/2024
Turkmenistan,New Manat,TMT,4.6290,01/10/2024,31/10/2024
UAE,Dirham,AED,4.8517,01/10/2024,31/10/2024
USA,Dollar,USD,1.3211,01/10/2024,31/10/2024
Uganda,Schilling,UGX,4913.3444,01/10/2024,31/10/2024
Ukraine,Hryvnia,UAH,54.7992,01/10/2024,31/10/2024
Uruguay,Peso,UYU,54.1522,01/10/2024,31/10/2024
Uzbekistan,Sum,UZS,16804.2923,01/10/2024,31/10/2024
Vanuatu,Vatu,VUV,156.4096,01/10/2024,31/10/2024
Venezuela,Bolivar Fuerte,VEF,4851594.9615,01/10/2024,31/10/2024
Vietnam,Dong,VND,32514.8935,01/10/2024,31/10/2024
Wallis & Futuna Islands,CFP Franc,XPF,141.7216,01/10/2024,31/10/2024
Western Samoa,Tala,WST,3.5886,01/10/2024,31/10/2024
Yemen (Rep of),Rial,YER,330.8000,01/10/2024,31/10/2024
Zambia,Kwacha,ZMW,34.9183,01/10/2024,31/10/2024
Zimbabwe,Zimbabwe Gold,ZWG,18.6144,01/10/2024,31/10/2024
